#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -74.8666  -39.1972  -39.1463  -38.9883  -22.2179  -22.0332  -22.0075  -22.0011  -21.9928  -21.9922  -21.9622  -21.9538  -21.9068  -21.9006  -18.8215  -18.5221  -17.9253  -16.9703  -16.5093  -16.0327   -9.6775   -7.4452   -4.6179   -4.5566   -3.9861   -3.7410   -3.5250   -3.4416   -3.1773   -2.9242   -2.6993   -2.2298   -2.1622   -2.1553   -1.8209   -1.5283   -1.5206   -1.3462   -1.1692   -0.6041    1.7769    2.5676    2.7268    3.2236    3.6734    4.8058    5.3747    5.5165
  0.0600  -74.8666  -39.1976  -39.1467  -38.9882  -22.2176  -22.0329  -22.0075  -22.0007  -21.9930  -21.9923  -21.9628  -21.9538  -21.9073  -21.9008  -18.8126  -18.5130  -17.9202  -16.9688  -16.5073  -16.0385   -9.6815   -7.4598   -4.6316   -4.5398   -4.0159   -3.7544   -3.5444   -3.4896   -3.1749   -2.9083   -2.7135   -2.2552   -2.1760   -2.1176   -1.7992   -1.5416   -1.5145   -1.3558   -1.1630   -0.6024    1.7889    2.6081    2.7214    3.2314    3.7008    4.8146    5.4053    5.5079
  0.1199  -74.8666  -39.1987  -39.1479  -38.9881  -22.2167  -22.0319  -22.0076  -22.0001  -21.9954  -21.9910  -21.9644  -21.9539  -21.9086  -21.9014  -18.7874  -18.4862  -17.9047  -16.9651  -16.5024  -16.0554   -9.6934   -7.5036   -4.6616   -4.5007   -4.0988   -3.8041   -3.5988   -3.5945   -3.2229   -2.8280   -2.7602   -2.3455   -2.1847   -2.0225   -1.7571   -1.5964   -1.4982   -1.3584   -1.1508   -0.5997    1.8256    2.7092    2.7239    3.2525    3.7792    4.8288    5.4205    5.5641
  0.1799  -74.8665  -39.2006  -39.1500  -38.9879  -22.2154  -22.0303  -22.0076  -22.0036  -21.9955  -21.9888  -21.9662  -21.9540  -21.9106  -21.9024  -18.7452  -18.4427  -17.8790  -16.9587  -16.4943  -16.0823   -9.7123   -7.5749   -4.7006   -4.4499   -4.2236   -3.8993   -3.7173   -3.6812   -3.3158   -2.8448   -2.6890   -2.4765   -2.1827   -1.9017   -1.7762   -1.6352   -1.4737   -1.3261   -1.1368   -0.5986    1.8938    2.7014    2.9010    3.2829    3.9012    4.8150    5.3820    5.7507
  0.2398  -74.8665  -39.2032  -39.1527  -38.9877  -22.2139  -22.0279  -22.0126  -22.0075  -21.9927  -21.9859  -21.9676  -21.9540  -21.9131  -21.9037  -18.6871  -18.3824  -17.8434  -16.9502  -16.4833  -16.1182   -9.7369   -7.6718   -4.7469   -4.4012   -4.3855   -4.0378   -3.8420   -3.7865   -3.4057   -2.9725   -2.6291   -2.5195   -2.1791   -1.9054   -1.7795   -1.5816   -1.4409   -1.2681   -1.1212   -0.6034    1.9981    2.7074    3.1234    3.3206    4.0565    4.7347    5.3773    6.0109
  0.2998  -74.8665  -39.2064  -39.1560  -38.9873  -22.2123  -22.0252  -22.0247  -22.0071  -21.9888  -21.9823  -21.9683  -21.9540  -21.9158  -21.9053  -18.6142  -18.3074  -17.7988  -16.9398  -16.4708  -16.1611   -9.7657   -7.7918   -4.7994   -4.5804   -4.3794   -4.2111   -3.9556   -3.9092   -3.4556   -3.1447   -2.7967   -2.3340   -2.2126   -2.0111   -1.6765   -1.5120   -1.3961   -1.1944   -1.1010   -0.6200    2.1379    2.7315    3.3654    3.3726    4.2348    4.5892    5.4250    6.1028
  0.3597  -74.8664  -39.2102  -39.1598  -38.9869  -22.2111  -22.0405  -22.0207  -22.0063  -21.9844  -21.9782  -21.9684  -21.9538  -21.9188  -21.9072  -18.5274  -18.2188  -17.7457  -16.9279  -16.4587  -16.2076   -9.7970   -7.9322   -4.8585   -4.8030   -4.4127   -4.4099   -4.0484   -4.0424   -3.4351   -3.3543   -2.9733   -2.3383   -2.1418   -2.0074   -1.6072   -1.4457   -1.3327   -1.1275   -1.0566   -0.6520    2.3092    2.7749    3.4168    3.6283    4.4202    4.4272    5.5067    6.0015
  0.4197  -74.8663  -39.2144  -39.1640  -38.9865  -22.2104  -22.0576  -22.0162  -22.0046  -21.9800  -21.9737  -21.9677  -21.9535  -21.9219  -21.9092  -18.4283  -18.1178  -17.6858  -16.9144  -16.4510  -16.2540   -9.8291   -8.0903   -5.0454   -4.9253   -4.6370   -4.4888   -4.1812   -4.1227   -3.5904   -3.3380   -3.1521   -2.4868   -1.9547   -1.9487   -1.5681   -1.3902   -1.2578   -1.0933   -0.9700   -0.6999    2.5060    2.8356    3.4733    3.8417    4.3007    4.6250    5.6047    5.9028
  0.4796  -74.8663  -39.2190  -39.1685  -38.9861  -22.2104  -22.0759  -22.0124  -22.0009  -21.9765  -21.9690  -21.9657  -21.9530  -21.9251  -21.9113  -18.3190  -18.0072  -17.6196  -16.8999  -16.4554  -16.2898   -9.8605   -8.2632   -5.2992   -5.0005   -4.8764   -4.5894   -4.3255   -4.1822   -3.8394   -3.3274   -3.1798   -2.6200   -1.8680   -1.7979   -1.5317   -1.3473   -1.1901   -1.0688   -0.8799   -0.7556    2.7207    2.9098    3.5351    3.8733    4.3834    4.8196    5.7080    5.8080
  0.5396  -74.8662  -39.2239  -39.1731  -38.9856  -22.2112  -22.0946  -22.0101  -21.9945  -21.9749  -21.9642  -21.9619  -21.9522  -21.9281  -21.9134  -18.2015  -17.8885  -17.5490  -16.8850  -16.4811  -16.3056   -9.8898   -8.4479   -5.5575   -5.1235   -5.0828   -4.6935   -4.4804   -4.2254   -4.0815   -3.4964   -2.9818   -2.7261   -1.7761   -1.7248   -1.4504   -1.3150   -1.1494   -1.0439   -0.8088   -0.7990    2.9462    2.9924    3.5999    3.7853    4.6212    4.9997    5.7182    5.8103
